"","listname","description","source","groups","Species","tissue","shortname","ensemble.genes"
"1","Acute EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in acute disease, nanostring array","Krasemann, et al., 2018","Microglia","mouse","microglia spinal cord","Acute EAE vs. CTRL spinal cord MG",171
"2","adult MG cluster 1","Gene cluster with higher expression in adult microglia compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","adult MG cluster 1",377
"3","adult MG cluster 2","Gene cluster with higher expression in adult microglia compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","adult MG cluster 2",392
"4","Amoeboid > Ramified MG","DEGs with higher expression in amoeboid vs. ramified microglia","Parakalan et al. 2012","Microglia","rat","microglia","Amoeboid > Ramified MG",913
"5","Apoe KO vs WT MG","DEGs in Apoe-/- microglia vs WT microglia at baseline","Krasemann, et al., 2018","Microglia","mouse","microglia","Apoe KO vs WT MG",12
"6","Apoe KO vs WT phagocytic MG","DEGs in Apoe-/- microglia vs WT microglia after cortical injection of apoptotic neurons","Krasemann, et al., 2018","Microglia","mouse","microglia","Apoe KO vs WT phagocytic MG",27
"7","ASD < CTRL MG","DEGs with lower expression in ASD microglia vs. CTRL Micorglia from human cortex","Velmeshev et al., 2019","Microglia","human","microglia","ASD < CTRL MG",19
"8","ASD > CTRL MG","DEGs with higher expression in ASD microglia vs. CTRL Micorglia from human cortex","Velmeshev et al., 2019","Microglia","human","microglia","ASD > CTRL MG",56
"9","ASD<Ctrl DGE","ASD < Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD<Ctrl",747
"10","ASD>Ctrl DGE","ASD > Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD>Ctrl",716
"11","BD<Ctrl DGE","BD < Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","BD<Ctrl",392
"12","BD>Ctrl DGE","BD > Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","BD>Ctrl",604
"13","Candidate ID","Candiate genes related to intellectual disability in humans","Gilissen, et al., 2014","ASD genetics","human","blood","ID genetic risk",616
"14","Cerebellum < Striatum MG","genes with higher expression in stratium microglia compared to cerebellum microglia, TRAP isolation","Ataya, et al., 2018","Microglia","mouse","microglia","Cerebellum < Striatum MG",729
"15","Cerebellum > Striatum MG","genes with higher expression in cerebellum microglia compared to stratium microglia, TRAP isolation","Ataya, et al., 2018","Microglia","mouse","microglia","Cerebellum > Striatum MG",291
"16","Chd8 brain targets","Chd8 ChIPseq peaks mouse brain","Gompers, et al., 2017","ASD regulators","mouse","brain","Chd8 brain targets",637
"17","Chd8 enhancer targets","Chd8 ChIPseq peaks over enhancers in hNPCs/E17.5 mouse cortex","Cotney, et al., 2015","ASD regulators","mouse","NPC","Chd8 enhancer targets",123
"18","Chd8 promoter targets","Chd8 ChIPseq peaks over promters in hNPCs/E17.5 mouse cortex","Cotney, et al., 2015","ASD regulators","mouse","NPC","Chd8 promoter targets",1770
"19","Chd8 targets human NPCs","CHD8 Chipseq peaks human iPSC NPCs","Sugathan, et al., 2014","ASD regulators","human","NPC","Chd8 targets human NPCs",4872
"20","Chd8del5+/- brain DE genes","Chd85del+/- brain compared to WT differentially expressed genes","Gompers, et al., 2017","ASD regulators","mouse","brain","Chd8del5+/- brain DE",510
"21","Chronic EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in chronic disease, nanostring array","Krasemann, et al., 2018","Microglia","mouse","microglia spinal cord","Chronic EAE vs. CTRL spinal cord MG",142
"22","Ctrl.GM>Ctrl.WM","Microglia Human Control Grey Matter > Control White Matter","Poel et al. 2019","inflammation","human","microglia","Ctrl.GMgreaterCtrl.WM",132
"23","Ctrl<INFb MG","young adult MG, 4wks treatment choroid plexus AAV-Ctrl<AAV-INFb RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Ctrl<INFb MG",258
"24","Ctrl>INFb MG","young adult MG, 4wks treatment choroid plexus AAV-Ctrl>AAV-INFb RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Ctrl>INFb MG",179
"25","DAM < HOM MG","DEGs with lower expression in DAM microglia vs. Homeostatic Micorglia","Keren-Shaul et al., 2017","Microglia","mouse","microglia","DAM < HOM MG",521
"26","DAM > HOM MG","DEGs with higher expression in DAM microglia vs. Homeostatic Micorglia","Keren-Shaul et al., 2017","Microglia","mouse","microglia","DAM > HOM MG",574
"27","DAMstage1 < DAMstage2 MG","DEGs with lower expression in DAM stage1 microglia vs. DAM stage2 micorglia","Keren-Shaul et al., 2017","Microglia","mouse","microglia","DAMstage1 < DAMstage2 MG",3870
"28","DAMstage1 > DAMstage2 MG","DEGs with higher expression in DAM stage1 microglia vs. DAM stage2 micorglia","Keren-Shaul et al., 2017","Microglia","mouse","microglia","DAMstage1 > DAMstage2 MG",1084
"29","de novo CNV ID","Genes with De novo CNVs related to intellectual disability in humans","Gilissen, et al., 2014","ASD genetics","human","blood","ID genetic risk",83
"30","Decr MG with Neuron activation","lower expression in microglia from striatum with neuronal activation CNO","Badimon et al., 2020","Microglia","mouse","microglia","Decr MG with Neuron activation",94
"31","Decr MG with Neuron silencing","lower expression in microglia from striatum with neuronal silencing","Badimon et al., 2020","Microglia","mouse","microglia","Decr MG with Neuron silencing",215
"32","Dup15q<Ctrl","RNAseq Dup15q brain","Parikshak et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","Dup15q<Ctrl",393
"33","Dup15q>Ctrl","RNAseq Dup15q brain","Parikshak et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","Dup15q>Ctrl",156
"34","E14.5 MG GF<SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E14.5 MG GF<SPF",6
"35","E14.5 MG GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E14.5 MG GF>SPF",13
"36","E18 vs P14 female MG","RNAseq differentially expressed genes E18 vs P14 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P14 female MG",6989
"37","E18 vs P14 male MG","RNAseq differentially expressed genes E18 vs P14 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P14 male MG",6371
"38","E18 vs P4 female MG","RNAseq differentially expressed genes E18 vs P4 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P4 female MG",3495
"39","E18 vs P4 male MG","RNAseq differentially expressed genes E18 vs P4 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P4 male MG",2977
"40","E18 vs P60 female MG","RNAseq differentially expressed genes E18 vs P60 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P60 female MG",7266
"41","E18 vs P60 male MG","RNAseq differentially expressed genes E18 vs P60 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","E18 vs P60 male MG",5774
"42","E18.5 MG Female GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Female GF>SPF",12
"43","E18.5 MG Female SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Female SPF>GF",8
"44","E18.5 MG Female>Male","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Female>Male",274
"45","E18.5 MG GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG GF>SPF",18
"46","E18.5 MG Male GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Male GF>SPF",47
